Surname0;Name0;Team0
Surname1;Name1;Team1
Surname2;Name2;Team2
Surname3;Name3;Team3
Surname4;Name4;Team3
Surname5;Name5;Team4
Surname6;Name6;Team5
Surname7;Name7;Team5
Surname8;Name8;Team6
Surname9;Name9;Team6
Surname10;Name10;Team7;Team3;Team11
Surname11;Name11;Team8
Surname12;Name12;Team8
Surname13;Name13;Team9
Surname14;Name14;Team9
Surname15;Name15;Team10
Surname16;Name16;Team11
Surname17;Name17;Team11
Surname18;Name18;Team12
Surname19;Name19;Team13
Surname20;Name20;Team14
Surname21;Name21;Team14
Surname22;Name22;Team15
Surname23;Name23;Team16
Surname24;Name24;Team16
Surname25;Name25;Team8
Surname26;Name26;Team11
Surname27;Name27;
Surname28;Name28;
Surname29;Name29;
